Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,GradeLevel,MethodRef,TopicRefs,ConceptRefs,Notes
MDL_ParallelogramProperties,Paralelograma un tā speciālgadījumu īpašības,Parallelogram properties,"Paralelograma pretējās malas vienādas un paralēlas; pretējie leņķi vienādi; diagonāles dalās uz pusēm. Romba diagonāles perpendikulāras; taisnstūra — vienāda garuma; kvadrāta — abas. Lieto, lai pierādītu, ka kāds četrstūris ir noteiktais.",Geom,GeometryShapes,GR_7_9,,instanceOf:Quadrilaterals,ParallelogramProperties;QuadrilateralFamilies,Bija: ParallelogramProperties. Label sakrīt ar solutionConcepts mezglu ParallelogramProperties — MDL_ prefikss novērš kolīziju.
MDL_TriangleInequalityModel,Trijstūra nevienādība kā modelis,Triangle inequality model,"Trijstūra eksistences nosacījums: jebkuras malas garums < pārējo divu summas. Lieto, lai pamatotu, ka kāds garums nav iespējams; vai garumu nevienādību pierādījumos (piem., $3AC > AB$ vienādsānu trijstūrī).",Geom,GeometryShapes,GR_7_9,,instanceOf:GeometricInequalities,TriangleInequality,Bija: TriangleInequalityModel.
MDL_SymmetryInPlane,Simetrija plaknē kā modelis,Plane symmetry as a model,"Atspulgs pret asi vai centru saglabā attālumus, leņķus, vienādību. Lieto: simetriskos figūru raksturos, simetriskās stratēģijās, palīglīniju ievilkšanā ar simetriju, simetriski pierakstītos skaitļos (palindromi).",Geom,Transformations,GR_7_9,,instanceOf:GeometricTransformations;usedIn:AxisSymmetry,AxialSymmetry;CentralSymmetry,Bija: SymmetryInPlane.
MDL_RotationFor60And90Degrees,Pagrieziens (parasti par 60° vai 90°) kā modelis,Rotation by 60° or 90° as a tool,"Pagrieziens ap punktu par fiksētu leņķi pārveido vienu trijstūri par citu, parādot vienādību. Bieži lieto kvadrātu un vienādmalu trijstūru konfigurācijās; kā arī iegūst simetriskas konfigurācijas no nesimetriskām.",Geom,Transformations,GR_7_9,,instanceOf:Rotation,Rotation,Bija: RotationFor60And90Degrees.
MDL_MagicConfigurationConstraints,Maģiskā kvadrāta tipa ierobežojumi,Magic configuration constraints,"Skaitļu izvietošana figūrā ar nosacījumu, ka rindu/kolonnu/diagonāļu summas vienādas. Sākotnējais solis: aprēķināt kopējo summu un to dalīt ar grupu skaitu; pēc tam — tiešā konstrukcija vai gadījumu pārlase.",Comb,DiscreteStructures,GR_4_6,,instanceOf:SystemsAndStructures,MagicConfiguration;TableFilling,Bija: MagicConfigurationConstraints.
MDL_ConsecutiveCellsConstraint,Blakus rūtiņu/elementu nosacījumi,Consecutive cells constraints,"Skaitļu izvietošana rindā vai režģī ar nosacījumiem starp blakus elementiem (summa, starpība, paritāte). Risinājumā bieži pierāda, ka virkne ir periodiska, vai meklē invariantu.",Comb,DiscreteStructures,GR_7_9,,usedIn:SystemsAndStructures;usedIn:SquareGrid,TableFilling;LatticeGrid,Bija: ConsecutiveCellsConstraint.
MDL_AlgebraicIdentityForFactoring,Algebriskās identitātes sadalīšanai reizinātājos,Algebraic identities for factoring,"$a^2 - b^2 = (a-b)(a+b)$, $(a \pm b)^2$, kuba un kubu summas/starpības formulas. Lieto, lai pierādītu, ka skaitlis nav pirmskaitlis, vai vienkāršotu izteiksmes.",Alg,AlgebraicIdentities,GR_7_9,MTH_PolynomialTransformations,instanceOf:AlgebraicTransformations;usedIn:NumTheoryFactorizations,FactoredForm;DiffOfSquaresFactoring;CubeIdentities,Bija: AlgebraicIdentityForFactoring.
MDL_QuadraticDiscriminantAndVieta,Kvadrātvienādojuma diskriminants un Vjeta formulas,Quadratic discriminant and Vieta's formulas,"Kvadrātvienādojumam $ax^2 + bx + c = 0$: sakņu skaitu nosaka $D = b^2 - 4ac$; sakņu summa = $-b/a$, reizinājums = $c/a$. Lieto, lai pierādītu apgalvojumus par saknēm bez to izrēķināšanas.",Alg,EquationsAndInequalities,GR_7_9,,instanceOf:EquationAnalysis,QuadraticEquation;VietasFormulas,Bija: QuadraticDiscriminantAndVieta.
MDL_LinearFunctionGraphAnalysis,Lineāras funkcijas grafika analīze,Linear function graph analysis,"No grafika novietojuma (kas iet caur kuru kvadrantu, augoša/dilstoša) izsecina koeficientu zīmes; vai otrādi — no koeficientiem zīmē grafiku. Tipiski: ""pierādiet, ka $(b-a)(k-m) > 0$"".",Alg,Functions,GR_7_9,,usedIn:AlgebraicTransformations,LinearFunction;FunctionGraph,Bija: LinearFunctionGraphAnalysis.
MDL_QuadraticFunctionVertexAndRoots,Kvadrātfunkcijas virsotne un saknes,Quadratic function: vertex and roots,Parabolas virsotnes abscisa — sakņu vidējais; novietojums koordinātu plaknē atkarībā no koeficientu zīmēm; krustpunkti ar asīm. Lieto kvadrātfunkciju grafikus salīdzinošos uzdevumos.,Alg,Functions,GR_7_9,,usedIn:EquationAnalysis;usedIn:ProvingInequalities,QuadraticFunction;QuadraticEquation,Bija: QuadraticFunctionVertexAndRoots.
MDL_ProbabilityViaCounting,Varbūtības aprēķins caur skaitīšanu,Probability via counting,"$P(A) = \frac{|A|}{|\Omega|}$ klasiskajā gadījumā. Bieži apvienots ar lēmumu koka konstrukciju (testa atbilžu varianti, monētu mešana, kauliņu izlozes).",Comb,DataAndProbability,GR_7_9,,instanceOf:DiscreteProbability;usedIn:CombiningEvents,Probability;SampleSpace,Bija: ProbabilityViaCounting.
MDL_StatisticsAggregateConstraint,Vidējā / mediānas / amplitūdas nosacījumi,Constraints from mean/median/range,"Uzdevums dod kopas vidējo (vai mediānu, modu) un prasa atrast iespējamos elementu skaitus. Lieto: vidējais reizināts ar elementu skaitu = summa; tā tiek izmantota par jaunu vienādojumu.",Alg,DataAndProbability,GR_7_9,,usedIn:AlgebraicTransformations,DataStatistics;ArithmeticMean,Bija: StatisticsAggregateConstraint.
MDL_GeometricFormulaApplication,"Pamatformulu lietojums (perimetrs, laukums, tilpums)",Application of basic geometric formulas,"Standarta formulu (taisnstūra, trijstūra, riņķa laukumu; prizmu, piramīdu tilpumu) izmantošana, bieži apvienojot vairākas figūras vienā uzdevumā vai izsakot nezināmo lielumu no formulas.",Geom,GeometryShapes,GR_7_9,,instanceOf:MetricComputations;usedIn:Area,PerimeterConcept;AreaConcept;VolumeConcept,Bija: GeometricFormulaApplication.
MDL_FigureSequenceAndPattern,Figūru virkne un likumsakarība,Sequence of figures and patterns,"Figūru virkne, kurā katru nākamo iegūst pēc noteikta likuma; jautā par $n$-tās figūras īpašībām (kvadrātu skaits, perimetrs). Modelē ar aritmētisku virkni vai tās variāciju.",Alg,Sequences,GR_4_6,,usedIn:NumericSequences,NumberSequence,Bija: FigureSequenceAndPattern.
MDL_EulerVennDiagramModel,Eilera–Venna diagrammu izmantošana,Euler-Venn diagram modelling,"2 vai 3 kopu pārklājošās diagrammas aizpilda ar elementu skaitiem dažādos apgabalos, izmantojot dotos kopu izmērus un pārklājumus. Tipiski: skolēni, kas mācās dažādas valodas; trollīši ar dažādām cepurītēm.",Comb,SetsAndOperations,GR_7_9,,instanceOf:CountingSetOperations,EulerVennDiagrams;SetUnion;SetIntersection,Bija: EulerVennDiagramModel.
MDL_CoinExchangeOrPostageStamps,"Monētu, pastmarku, naudas izteikšanas modelis",Coin/stamp combination model,"Kuras vērtības var izteikt ar dotām monētām/markām; cik mazākais skaits vajadzīgs. Saistīts ar Eiklīda algoritmu, lineāriem diofantiskiem vienādojumiem, $\gcd$.",NT,IntegerRepresentations,GR_4_6,,usedIn:Divisibility,FrobeniusType;NumberPartitions;LinearDiophantine,Bija: CoinExchangeOrPostageStamps.
MDL_NumberLineAndIntegerSearch,Skaitļu virknes pārmeklēšana ar nosacījumiem,Searching integers under constraints,"Atrast visus naturālos/veselos skaitļus ar dotajām īpašībām (piem., ""ciparu summa = X, ciparu reizinājums = Y""), bieži ar saprātīgu pārlasi pēc galvenā parametra.",NT,IntegerRepresentations,GR_4_6,,usedIn:ExamplesInNumberTheory,PositiveIntegers;NumberSequence,Bija: NumberLineAndIntegerSearch.
MDL_CryptarithmModel,Skaitļu rēbusa modelis,Cryptarithm model,"Aritmētiska darbība, kurā cipari aizstāti ar burtiem vai simboliem (vienādi simboli — vienādi cipari). Risina, analizējot pārnesumus pa pozīcijām, pirmā cipara ierobežojumus un pēdējo ciparu iespējas.",NT,DigitStructures,GR_4_6,MTH_ExhaustiveAlgorithms,usedIn:NotationManipulate,Cryptarithm;DigitRepresentation,"Papildinājums pamatskolas līmenī (trūka sākotnējā sarakstā); olimpiāžu programmā 2022: ""Skaitļu rēbusi""."
MDL_StarsAndBars,Izlases ar atkārtojumiem (svītru–zvaigznīšu modelis),Stars and bars model,"Nesakārtotu izlašu ar atkārtojumiem skaitīšana, interpretējot izvēli kā simbolu virkni no ""zvaigznītēm"" un atdalītājiem: $\binom{n+k-1}{k}$. Tipiski: augļu komplekti, monētu sadalīšana, nenegatīvu veselu atrisinājumu skaits vienādojumam $x_1+\dots+x_n=k$.",Comb,CountingPrinciples,GR_7_9,MTH_InterpretationWithCoding,instanceOf:InterpretationMethodInCounting;usedIn:StandardCombinatorialNumbers,SelectionsWithRepetition;BinomialCoefficient,Papildinājums (trūka sākotnējā sarakstā); lietots AMO uzdevumos par kombinācijām ar atkārtojumiem.
MDL_PositionalBaseRepresentation,Pozicionālais pieraksts ar citu bāzi,Positional notation in base $b$,"Skaitļa pieraksts formā $\sum a_i b^i$ ar bāzi $b\neq 10$ (visbiežāk bināro). Izmanto svaru/monētu izteikšanas uzdevumos, spēlēs un ciparu manipulāciju uzdevumos.",NT,DigitStructures,GR_7_9,,instanceOf:NumeralSystems;usedIn:BinaryNotation,PositionalSystems;DigitRepresentation,Papildinājums (trūka sākotnējā sarakstā).
MDL_ExponentialGrowthDecay,Eksponenciālas augšanas un dilšanas modelis,Exponential growth and decay model,"Procesi formā $y=a\cdot q^n$: saliktie procenti, vairākkārtējas procentuālas izmaiņas, sabrukšanas/dubultošanās procesi. Saistīts ar ģeometrisko progresiju kā diskrētu procesu.",Alg,Functions,GR_10_12,MTH_AlgebraicModel,usedIn:NumericSequences;usedIn:AlgebraicTransformations,ExpLogFunctions;GeometricProgression;PercentConcept,
MDL_GeometricSeriesSum,Ģeometriskās progresijas summa,Geometric series sum,"Summas $a+aq+\dots+aq^{n-1}=a\frac{q^n-1}{q-1}$ un bezgalīgi dilstošas progresijas summas $\frac{a}{1-q}$ izmantošana; arī ""summu saritināšana"" ar reizināšanu ar $q$.",Alg,Sequences,GR_10_12,MTH_Transformations,instanceOf:ArithmeticAndGeometricSeries,GeometricProgression;SequenceSum,
MDL_PolynomialDivisionAndRoots,"Polinoma dalīšana, Bezū teorēma un saknes","Polynomial division, Bézout theorem and roots","Polinoma dalīšana ar atlikumu, Bezū teorēma ($P(a)$ ir atlikums, dalot ar $x-a$), sakņu un lineāro reizinātāju saikne, racionālo sakņu teorēma.",Alg,Polynomials,GR_10_12,MTH_PolynomialTransformations,usedIn:PolynomialLongDivision;usedIn:EquationAnalysis,PolynomialAndRoots;PolynomialDivision;RationalRootTheorem,"Olimpiāžu programmā 2022: ""Polinomi (tajā skaitā polinoma racionālās saknes)""."
MDL_TrigonometricTransformations,Trigonometrisko identitāšu un vienādojumu modelis,Trigonometric identities and equations,"Trigonometrisko izteiksmju pārveidošana (pamatidentitātes, summu/dubultleņķu formulas) un trigonometrisko vienādojumu atrisināšana, izmantojot periodiskumu.",Alg,Functions,GR_10_12,MTH_Transformations,instanceOf:Trigonometry,TrigonometricFunctions;EvenOddPeriodicFunction,
MDL_ExpLogEquations,Eksponentvienādojumu un logaritmisko vienādojumu modelis,Exponential and logarithmic equations,"Vienādojumu risināšana ar pakāpju un logaritmu īpašībām; substitūcija $t=a^x$, definīcijas apgabala kontrole, monotonitātes izmantošana sakņu skaita pamatošanai.",Alg,Equations,GR_10_12,MTH_Substitution,usedIn:EquationSolving,ExpLogFunctions;MonotonicFunction,
MDL_EquationsWithParameter,Vienādojumi un nevienādības ar parametru,Equations and inequalities with a parameter,"Atrisinājumu skaita un īpašību pētīšana atkarībā no parametra vērtības: gadījumu sazarošana, diskriminanta un grafiku analīze, parametra ""lomu maiņa"" ar nezināmo.",Alg,Equations,GR_10_12,,instanceOf:EquationAnalysis;usedIn:InequalitySolving,ParameterConcept;QuadraticEquation,
MDL_DerivativeForExtrema,Atvasinājums monotonitātei un ekstrēmiem,Derivative for monotonicity and extrema,"Funkcijas pētīšana ar atvasinājumu: monotonitātes intervāli, ekstrēmu punkti, lielākā/mazākā vērtība intervālā.",Alg,Functions,GR_10_12,,usedIn:RealAnalysis;usedIn:AlgebraProblemsWithExtremes,MonotonicFunction;MaxMinValue,LV olimpiāžu programmā 2022 atvasinājumi NAV iekļauti; Matemātika II (skolas) līmenis.
MDL_ComplexNumbersAlgebraic,Kompleksie skaitļi kā algebrisks modelis,Complex numbers as an algebraic model,"Komplekso skaitļu algebriskā un trigonometriskā forma, Muavra formula; vienādojumu sakņu un identitāšu pētīšana ar kompleksajiem skaitļiem.",Alg,NumberSystems,GR_10_12,,usedIn:AlgebraicTechniques,,LV olimpiāžu programmā 2022 NAV iekļauts; Matemātika II. solutionConcepts.csv trūkst atbilstoša jēdziena mezgla (ieteikums pievienot).
MDL_SineCosineRules,Sinusu un kosinusu teorēmu modelis,Law of sines and law of cosines,"Metriskie aprēķini patvaļīgā trijstūrī: $\frac{a}{\sin A}=2R$ un $c^2=a^2+b^2-2ab\cos C$; malu, leņķu un apvilktās riņķa līnijas rādiusa sasaiste.",Geom,MeasurementAndMetric,GR_10_12,,instanceOf:MetricComputations;usedIn:SineTheorem;usedIn:CosineTheorem,TrigonometricFunctions;LengthDistance,
MDL_InscribedAngleModel,Ievilktā leņķa modelis,Inscribed angle model,"Ievilktā un centra leņķa sakarība, uz vienu loku balstītu leņķu vienādība, Talesa teorēma par diametru; leņķu ""dzīšana"" caur lokiem.",Geom,CirclesAndAngles,GR_10_12,,instanceOf:ExpressingArcChordByAngle;usedIn:InscribedAngleAndSimilarTriangles;usedIn:FourPointsOnCircle,InscribedCentralAngle;ArcOfCircle,Olimpiāžu programma 2022: 10. klasē uz 2. posmu jāapgūst riņķa līnijas leņķu sakarības.
MDL_TangentSegmentsModel,Pieskaru nogriežņu modelis,Tangent segments model,"No viena punkta vilktu pieskaru nogriežņu vienādība, pieskares perpendikularitāte rādiusam; ievilktās riņķa līnijas pieskaršanās punktu nogriežņu aprēķini.",Geom,CirclesAndAngles,GR_10_12,,instanceOf:TwoTangentsFromSinglePoint,ChordTangentSecant;IncircleCircumcircle,
MDL_CoordinateMethodModel,Koordinātu metodes modelis,Coordinate method model,"Ģeometriska uzdevuma pārtulkošana koordinātās: punktu, taišņu un riņķa līniju vienādojumi, attālumu un viduspunktu formulas; apgalvojuma pierādīšana ar algebriskiem aprēķiniem.",Geom,CoordinatesAndVectors,GR_10_12,MTH_CoordinateMethod,instanceOf:CoordinateMethod,CoordinatePlane;FunctionGraph,
MDL_VectorDotProductModel,Vektoru un skalārā reizinājuma modelis,Vectors and dot product model,"Nogriežņu, viduspunktu un leņķu izteikšana ar vektoriem; skalārā reizinājuma izmantošana perpendikularitātei un leņķu aprēķiniem.",Geom,CoordinatesAndVectors,GR_10_12,,instanceOf:Vectors,Vector,
MDL_SolidGeometryComputation,Stereometrijas aprēķinu modelis,Solid geometry computation model,"Telpisku ķermeņu tilpumu un virsmu aprēķini, šķēlumu konstruēšana un plaknes figūru metožu pārnešana uz telpu (izklājumi, projekcijas).",Geom,SolidGeometry,GR_10_12,,instanceOf:SolidGeometry,VolumeConcept;Polyhedron;SolidNet,
MDL_BinomialTheoremModel,Ņūtona binoma un Paskāla trijstūra modelis,Binomial theorem and Pascal triangle model,"Izvirzījums $(a+b)^n=\sum\binom{n}{k}a^{n-k}b^k$, binomiālo koeficientu identitātes un Paskāla trijstūra likumsakarības.",Comb,CountingPrinciples,GR_10_12,,instanceOf:StandardCombinatorialNumbers,BinomialCoefficient;PascalTriangle,"Olimpiāžu programmā 2022: ""Ņūtona binoms un binomiālie koeficienti""."
MDL_ConditionalProbabilityModel,Nosacītās un pilnās varbūtības modelis,Conditional and total probability model,"Nosacītā varbūtība $P(A\mid B)$, pilnās varbūtības formula un notikumu neatkarība; varbūtību koki daudzpakāpju eksperimentiem.",Comb,DataAndProbability,GR_10_12,,instanceOf:ConditionalProbability,Probability;SampleSpace,LV olimpiāžu programmā 2022 varbūtību teorija NAV iekļauta; skolas līmenis.
MDL_RandomVariableExpectation,Gadījumlieluma un sagaidāmās vērtības modelis,Random variable and expected value model,"Diskrēts gadījumlielums, tā sadalījums un sagaidāmā vērtība; vidējās vērtības aprēķins spēlēm un procesiem.",Comb,DataAndProbability,GR_10_12,,instanceOf:DiscreteRandomVariables,ExpectedValue;Probability,LV olimpiāžu programmā 2022 NAV iekļauts; skolas/GR_ADV robežzona.
MDL_MeanInequalitiesAMGM,Vidējo lielumu nevienādību modelis (AM–GM u.c.),Mean inequalities model (AM-GM etc.),"Nevienādības starp vidējo aritmētisko, ģeometrisko, harmonisko un kvadrātisko ($\frac{a+b}{2}\ge\sqrt{ab}$ u.c.) un to lietojums nevienādību pierādīšanā un ekstrēmu atrašanā.",Alg,InequalitiesAndEstimates,GR_OLY,,instanceOf:ProvingInequalitiesWithOtherInequalities;usedIn:ProvingInequalities,MeanValues;UpperLowerBound,Olimpiāžu programmā 2022 (6. lpp.): nevienādība starp vidējo aritmētisko un ģeometrisko.
MDL_CompletingSquareSOS,Pilno kvadrātu atdalīšanas modelis,Completing the square / sum of squares model,"Izteiksmes pārveidošana par kvadrātu summu, lai pamatotu nenegativitāti vai atrastu ekstrēmu: $x^2+px+q=(x+\frac{p}{2})^2+\dots$ un daudzargumentu analogi.",Alg,InequalitiesAndEstimates,GR_OLY,MTH_Transformations,instanceOf:CompletingSquare;usedIn:InequalitiesEquivalentTransformations,SquareOfSumIdentity;UpperLowerBound,"Olimpiāžu programmā 2022 (5. lpp.): ekvivalentie pārveidojumi, pilno kvadrātu atdalīšana."
MDL_VietaForPolynomials,Vjeta formulu un simetrisko izteiksmju modelis,Vieta formulas and symmetric expressions model,"Sakņu simetrisko izteiksmju ($x_1+x_2$, $x_1x_2$, $x_1^2+x_2^2$ u.c.) izteikšana ar koeficientiem; vienādojumu pētīšana, tos neatrisinot, arī augstākām pakāpēm.",Alg,Polynomials,GR_OLY,MTH_PolynomialTransformations,instanceOf:PolynomialVietaFormula;usedIn:EquationAnalysis,VietasFormulas;SymmetricExpressions,"Olimpiāžu programmā 2022: vienādojumu pētīšana, tos nerisinot (tajā skaitā Vjeta teorēma)."
MDL_FunctionalEquationSubstitution,Funkcionālvienādojuma substitūciju modelis,Functional equation substitution model,"Funkcijas īpašību iegūšana, funkcionālvienādojumā ievietojot speciālas vērtības ($x=0$, $x=y$, $y\to -x$ u.c.); vērtību tabulas veidošana diskrētām definīcijas kopām.",Alg,FunctionalEquations,GR_OLY,MTH_Substitution,instanceOf:FunctionalEquations;usedIn:FunctionalEquationsInDiscreteSets,FunctionalEquationConcept;FunctionConcept,Latvijas olimpiādēs galvenokārt VOL vecākajās klasēs; Košī tips — sk. MDL_CauchyTypeFE (GR_ADV).
MDL_FunctionIterationModel,Funkcijas iterāciju un nekustīgo punktu modelis,Function iteration and fixed point model,"Atkārtota funkcijas pielietošana $f(f(\dots f(x)))$: iterāciju periodiskums, nekustīgie punkti un to loma vienādojumu $f(f(x))=x$ analīzē.",Alg,Functions,GR_OLY,,instanceOf:IterationMethod,FunctionIteration;FixedPoint,
MDL_CyclicQuadrilateralModel,Ievilkta un apvilkta daudzstūra modelis,Cyclic and tangential polygon model,"Ievilkta četrstūra kritēriji (pretējo leņķu summa $180°$, vienādi leņķi pret hordu) un apvilkta četrstūra īpašība $a+c=b+d$; četru punktu konciklitātes pamatošana.",Geom,CirclesAndAngles,GR_OLY,,instanceOf:FourPointsOnCircle;usedIn:Quadrilaterals,CyclicQuadrilateral;IncircleCircumcircle,Olimpiāžu programmā 2022 (10. lpp.). Ptolemaja teorēma — GR_ADV paplašinājums.
MDL_PowerOfPointModel,Punkta pakāpes modelis,Power of a point model,"Krustojošos hordu, sekantu un pieskaru nogriežņu reizinājumu vienādības ($AX\cdot XB=CX\cdot XD$); punkta pakāpe kā vienots invariants un radikālās ass idejas.",Geom,CirclesAndAngles,GR_OLY,,instanceOf:CircleMetric;usedIn:RadicalAxis,PowerOfPoint;ChordTangentSecant,solutionConcepts mezgls PowerOfPoint atzīmēts GR_ADV; hordu reizinājumu pamatforma parādās LV VOL.
MDL_HomothetyModel,Homotētijas un mēroga modelis,Homothety and scaling model,"Homotētija ar centru un koeficientu: paralēlu nogriežņu, viduslīniju un līdzīgu figūru sasaiste; riņķa līniju pieskaršanās punkti kā homotētijas centri.",Geom,Transformations,GR_OLY,,instanceOf:HomothetyAndDilation,HomothetyAndScaling,Olimpiāžu programmā 2022: ģeometriskie pārveidojumi (tajā skaitā homotētija).
MDL_ReflectionShortestPath,Atspoguļošanas modelis īsākā ceļa uzdevumos,Reflection model for shortest path problems,"Punkta atspoguļošana pret taisni, lai lauztu ceļu pārvērstu par nogriezni; minimālā perimetra un ""biljarda"" tipa uzdevumi.",Geom,Transformations,GR_OLY,MTH_AugmentationWithNewElements,instanceOf:AxisSymmetry;usedIn:MaxMinProblems,AxialSymmetry;LengthDistance,
MDL_DiophantineFactoring,Diofanta vienādojuma sadalīšanas modelis,Diophantine equation factoring model,Vienādojuma veselos skaitļos pārveidošana formā $f\cdot g=c$ un dalītāju pāru pārlase; arī Simona triks $xy+ax+by=(x+b)(y+a)-ab$.,NT,IntegerRepresentations,GR_OLY,MTH_Transformations,instanceOf:NumTheoryEqualityToConstant;usedIn:NumTheoryFactorizations,DiophantineEquation;FactoredForm,Olimpiāžu programmā 2022: vienādojumi veselos skaitļos — sadalīšana reizinātājos.
MDL_DiophantineBounding,Diofanta vienādojuma novērtēšanas modelis,Diophantine equation bounding model,"Vienādojuma pušu salīdzināšana un atrisinājumu iespīlēšana: augšanas ātrumu salīdzināšana, kvadrātu iespīlēšana $n^2<x<(n+1)^2$, galīga kandidātu saraksta iegūšana.",NT,InequalitiesAndEstimates,GR_OLY,,instanceOf:NumTheoryInequalityMethod,DiophantineEquation;UpperLowerBound;PerfectSquares,Olimpiāžu programmā 2022: vienādojuma abu pušu salīdzināšana.
MDL_FloorFunctionModel,Veselās daļas funkcijas modelis,Floor function model,"Veselās daļas $\lfloor x\rfloor$ un daļveida daļas $\{x\}$ īpašības; vienādojumi un summas ar veselo daļu, sadalījums $x=\lfloor x\rfloor+\{x\}$.",NT,NumberSystems,GR_OLY,,usedIn:NumTheoryTransformations,IntegerPartFloor,
MDL_IrrationalityProof,Iracionalitātes pierādīšanas modelis,Irrationality proof model,Pieņēmums $\sqrt{d}=\frac{p}{q}$ nesaīsināmā formā un pretruna caur pirmreizinātāju kārtu paritāti; iracionalitātes pārnese uz izteiksmēm.,NT,NumberSystems,GR_OLY,MTH_ContradictionMethod,usedIn:IntegerFactorization,IrrationalAndReals;PrimeFactorization;ProofByContradiction,
MDL_PrimeValuationModel,Pirmskaitļa kārtas (valuācijas) modelis,Prime valuation model,"Skaitļa pieraksts formā $p^k\cdot u$, kur $p\nmid u$; kārtu saskaitīšana reizinot, minimuma īpašība saskaitot, Ležandra formula faktoriāliem.",NT,ModularStructures,GR_OLY,,instanceOf:Valuation,PadicValuation;PrimeFactorization,solutionConcepts mezgls PadicValuation atzīmēts GR_ADV; pamatforma (kvadrātiem/kubiem) parādās LV VOL.
MDL_PythagoreanTriplesModel,Pitagora trijnieku modelis,Pythagorean triples model,Vienādojuma $a^2+b^2=c^2$ atrisinājumi veselos skaitļos: primitīvo trijnieku parametrizācija un paritātes/dalāmības īpašības.,NT,IntegerRepresentations,GR_OLY,,usedIn:NumTheoryIdentities,PythagoreanTriples,
MDL_BijectionCounting,Bijekcijas modelis skaitīšanā,Bijection counting model,"Divu kopu vienāda lieluma pamatošana, konstruējot savstarpēji viennozīmīgu atbilstību; skaitīšana, pārkodējot objektus vienkāršākā formā (virknītes, ceļi).",Comb,CountingPrinciples,GR_OLY,MTH_InterpretationWithCoding,instanceOf:InterpretationMethodInCounting;usedIn:CountingFromEncoding,Bijection;EncodingConcept,
MDL_TreeStructureModel,Koka struktūras modelis,Tree structure model,"Sakarīgs grafs bez cikliem: $n$ virsotnes un tieši $n-1$ šķautnes, lapu eksistence, unikāli ceļi; minimālo savienojumu un hierarhiju uzdevumi.",Comb,Graphs,GR_OLY,MTH_GraphModel,instanceOf:Trees,Tree;ConnectedGraph,
MDL_ConnectivityComponentsModel,Sakarīguma un komponenšu modelis,Connectivity and components model,"Grafa sadalījums sakarīgās komponentēs; šķautņu skaita novērtējumi sakarīgumam un argumenti ""komponente nevar sadalīties/apvienoties"".",Comb,Graphs,GR_OLY,MTH_GraphModel,instanceOf:GraphConnectivity,ConnectedGraph;WalkPathCycle,
MDL_BipartiteGraphModel,Divdaļīga grafa modelis,Bipartite graph model,"Virsotņu sadalījums divās daļās, kur šķautnes iet tikai starp daļām: nepāra ciklu neesamība, divkāršā skaitīšana pa daļām, pārī savienojumu uzdevumi.",Comb,Graphs,GR_OLY,MTH_GraphModel,usedIn:MathObjectsAsGraphs;usedIn:GraphColoringAndLabeling,BipartiteGraph;MatchingInGraph,Holla teorēma — sk. MDL_HallMarriageModel (GR_ADV).
MDL_RamseyFriendsStrangers,Ramseja tipa modelis (draugi–svešinieki),Ramsey-type model (friends and strangers),"Divkrāsu pilnā grafā meklē vienkrāsainas struktūras: klasiskais arguments, ka starp 6 cilvēkiem ir 3 savstarpēji pazīstami vai 3 savstarpēji nepazīstami.",Comb,Graphs,GR_OLY,MTH_PigeonholePrincipleGeneralized,instanceOf:GraphColoringAndLabeling;usedIn:RamseyTheoryGeometry,RamseyType;CompleteGraph;GraphColoringConcept,
MDL_GreedyAlgorithmModel,Rijīgā algoritma modelis,Greedy algorithm model,"Konstrukcija vai stratēģija, katrā solī izvēloties lokāli labāko iespēju; korektuma pamatošana ar apmaiņas argumentu vai monovariantu.",Comb,GamesAndProcesses,GR_OLY,MTH_GreedyAlgorithms,usedIn:CombinatorialAlgorithms,AlgorithmConcept;SortingAndComparisons,
MDL_TakeAwayGamesModel,Prom ņemšanas spēļu modelis,Take-away games model,"Spēles, kurās gājiens ir priekšmetu noņemšana pēc atļautiem daudzumiem; zaudējošo pozīciju atrašana ar atlikumiem pēc moduļa un pozīciju analīzi.",Comb,GamesAndProcesses,GR_OLY,,instanceOf:GameModelCreation;usedIn:Games,WinningLosingPositions;GamePosition,"Olimpiāžu programmā 2022: ""prom ņemšanas spēles"". Vispārinājums ar XOR — sk. MDL_NimXorModel (GR_ADV)."
MDL_CauchySchwarzModel,Košī–Buņakovska nevienādības modelis,Cauchy-Schwarz inequality model,Nevienādība $(\sum a_ib_i)^2\le(\sum a_i^2)(\sum b_i^2)$ un tās sekas (Engel forma $\sum\frac{a_i^2}{b_i}\ge\frac{(\sum a_i)^2}{\sum b_i}$) nevienādību pierādīšanā.,Alg,InequalitiesAndEstimates,GR_ADV,,instanceOf:ProvingInequalitiesWithOtherInequalities,CauchySchwarzStructure;MeanValues,
MDL_ConvexityJensen,Izliektības un Jensena nevienādības modelis,Convexity and Jensen inequality model,Funkcijas izliektība/ieliektība un Jensena nevienādība $f(\frac{\sum x_i}{n})\le\frac{\sum f(x_i)}{n}$; tangentes līnijas triks.,Alg,InequalitiesAndEstimates,GR_ADV,,usedIn:ProvingInequalities;usedIn:SequencesAndMeanValues,MeanValues,solutionConcepts.csv trūkst jēdziena par izliektu funkciju (ieteikums pievienot).
