L1,L2,Label,TitleLv,TitleEn,DescriptionLv,Domain,ConceptGroup,GradeGroup,TopicRefs,SeeAlso,Notes
10,3,GeometricProgression,Ģeometriskā progresija,Geometric progression,"Virkne, kurā katru nākamo locekli iegūst, iepriekšējo reizinot ar fiksētu skaitli $q$ (kvocientu). $b_n = b_1 \cdot q^{n-1}$.",Alg,Sequences,GR_10_12,ArithmeticAndGeometricSeries;SeriesGeometricFinite,DOM_GeometricSeries,Formāli Matemātika I; olimpiādēs kā dubultošanās u.tml. parādās agrāk.
10,4,RecurrentSequence,Rekurenti uzdota virkne,Recurrent sequence,"Virkne, kuras katrs loceklis (sākot no kāda) ir izteikts caur iepriekšējiem; piem., $a_{n+1} = f(a_n, a_{n-1})$. Klasiskais piemērs — Fibonači virkne.",Alg,Sequences,GR_10_12,RecurrentSequences;DefiningRecurrentSequences,MTH_MathematicalInduction,Rekurences ideja olimpiāžu skaitīšanas uzdevumos parādās jau pamatskolā.
10,5,PeriodicSequence,Periodiska virkne,Periodic sequence,"Virkne, kurā kāds bloks atkārtojas: $a_{n+T} = a_n$ visiem pietiekami lieliem $n$. Atslēgas struktūra ""kāds ir 2024. loceklis"" tipa uzdevumos.",Alg,Sequences,GR_7_9,SequencePeriodicity,PeriodicRemainders,
10,6,FibonacciLikeSequence,Fibonači tipa virkne,Fibonacci-type sequence,"Virkne ar sakarību $a_{n+2} = a_{n+1} + a_n$ (vai variācijām, piem., $a_{n+1} + a_{n-1}$, $a_{n} + a_{n-3}$). Bieži pasniedz pakāpienu, sakārtojumu vai pārklājumu uzdevumus.",Alg,Sequences,GR_OLY,FibonacciNumbers,RecurrentSequence,
10,7,FiniteSequenceArrangement,Galīga virkne / sakārtojums rindā,Finite sequence / linear arrangement,"$n$ elementu sakārtojums rindā — funkcija $\{1, \ldots, n\} \to S$. Skolēni rindā pēc auguma, skaitļi rindā ar nosacījumiem starp blakus stāvošiem.",Comb,Sequences,GR_4_6,SystemsOfSubsequences,DOM_CountingStrings;TotalOrder,
10,8,SequenceSum,Virknes locekļu summa,Sum of sequence terms,"Daudzu locekļu summa kā patstāvīgs objekts, ieskaitot $1+2+\ldots+n=\frac{n(n+1)}{2}$. Summas struktūras pamanīšana (pārošana, grupēšana) ir klasiska olimpiāžu prasme.",Alg,Sequences,GR_7_9,SeriesMembersSumsClosedFormulas;SeriesOneToNSum,TelescopingStructure,
11,0,Functions,Funkcijas,Functions,"Funkcija kā piekārtojums un tās īpašību struktūras: grafiks, monotonitāte, paritāte, periodiskums, iterācijas.",Alg,Functions,,RealAnalysis,,
11,1,FunctionConcept,Funkcija (piekārtojums),Function (mapping),"Likums $f: A \to B$, kas katram $A$ elementam piekārto tieši vienu $B$ elementu. $A$ — definīcijas apgabals, $B$ — vērtību kopa.",Alg,Functions,GR_7_9,StudyingContinuousFunctions,DOM_RealFunctions,
11,2,LinearFunction,Lineāra funkcija,Linear function,"Funkcija $y = kx + b$, kuras grafiks ir taisne. Koeficients $k$ nosaka slīpumu, $b$ — krustpunktu ar $y$-asi.",Alg,Functions,GR_7_9,LinearFunctions,,
11,3,QuadraticFunction,Kvadrātfunkcija,Quadratic function,"Funkcija $y = ax^2 + bx + c$, $a \neq 0$, kuras grafiks ir parabola.",Alg,Functions,GR_7_9,QuadraticFunctions,SquareOfSumIdentity,
11,4,DirectProportion,Tieši proporcionāli lielumi,Direct proportionality,"Lielumi $x$ un $y$, kuriem $y/x = k$ (konstante). Sakarības speciālgadījums, kas ir lineāra funkcija caur sākumpunktu.",Alg,Functions,GR_4_6,LinearFunctions,RatioProportion,
11,5,InverseProportion,Apgriezti proporcionāli lielumi,Inverse proportionality,"Sakarība $y = k/x$, kuras grafiks ir hiperbola. Tieši proporcionāli lielumi savukārt ir lineāras funkcijas $y = kx$ piemērs.",Alg,Functions,GR_7_9,StudyingContinuousFunctions,DirectProportion,
11,6,FunctionDomainRange,Funkcijas definīcijas apgabals un vērtību kopa,Domain and range of a function,"Definīcijas apgabals — kopa, no kuras ņemam argumentu; vērtību kopa — visu funkcijas vērtību kopums.",Alg,Functions,GR_7_9,StudyingContinuousFunctions,,
11,7,Bijection,Bijekcija (savstarpēji viennozīmīgs attēlojums),Bijection,"Funkcija $f: A \to B$, kurā katram $b \in B$ atbilst tieši viens $a \in A$. Galvenais instruments, lai pierādītu, ka $|A| = |B|$, neskaitot abas kopas.",Comb,Functions,GR_OLY,PartitioningInPairsBijections,MTH_InterpretationMethod,
11,8,FunctionComposition,Funkciju kompozīcija,Function composition,"Operācija $(g \circ f)(x) = g(f(x))$ — vispirms pielieto $f$, pēc tam $g$. Olimpiādēs vienkāršākajos gadījumos parādās ""funkcijas iterācijās"".",Alg,Functions,GR_10_12,IterationMethod,FunctionConcept,
11,9,FunctionGraph,Funkcijas grafiks,Graph of a function,"Funkcijas attēlojums koordinātu plaknē. Ļauj vienādojumu vai nevienādību ""izlasīt"" ģeometriski — kā grafiku krustpunktus vai savstarpējo novietojumu.",Alg,Functions,GR_7_9,EquationsAndFunctionPlots;FunctionGraphTransformations,CoordinatePlane,
11,10,MonotonicFunction,Monotona funkcija,Monotonic function,"Funkcija, kas tikai aug vai tikai dilst. Monotonitāte garantē, ka vienādojumam ir ne vairāk kā viena sakne, un ļauj salīdzināt vērtības, salīdzinot argumentus.",Alg,Functions,GR_10_12,EquationsAndMonotonicity;Monotonicity,,
11,11,EvenOddPeriodicFunction,"Pāra, nepāra un periodiskas funkcijas","Even, odd and periodic functions","Funkcijas simetrijas īpašības: $f(-x)=f(x)$ (pāra), $f(-x)=-f(x)$ (nepāra), $f(x+T)=f(x)$ (periodiska). Ļauj no vērtībām vienā apgabalā atjaunot funkciju visur.",Alg,Functions,GR_10_12,FunctionGraphTransformations,AxialSymmetry;CentralSymmetry,
11,12,ExpLogFunctions,Eksponentfunkcija un logaritms,Exponential and logarithmic functions,"Pakāpe ar mainīgu kāpinātāju un tās apgrieztā funkcija. Eksponenciālas augšanas atpazīšana (dubultošanās, procentu procenti) ir svarīga teksta uzdevumu lasīšanas prasme.",Alg,Functions,GR_10_12,ExponentialLogarithmicFunctions,,
11,13,TrigonometricFunctions,Trigonometriskās funkcijas,Trigonometric functions,"Sinuss, kosinuss, tangenss kā leņķa funkcijas (vienības riņķis). Savieno leņķu ģeometriju ar algebriskām sakarībām un periodiskumu.",Alg,Functions,GR_10_12,TrigonometricFunctions;TrigonometricIdentities,DOM_Trigonometry,
11,14,FunctionIteration,Funkcijas iterācijas,Function iteration,"Atkārtota funkcijas piemērošana $x, f(x), f(f(x)), \ldots$. Procesu uzdevumos soļa noteikums bieži ir tieši funkcija, un jautājums — par iterāciju trajektoriju.",Alg,Functions,GR_OLY,IterationMethod;IterativeProcesses,StateSpaceProcess;PeriodicSequence,
11,15,FixedPoint,Nekustīgais punkts,Fixed point,"Vērtība, kuru funkcija atstāj nemainīgu: $f(a)=a$. Iterāciju un funkcionālvienādojumu uzdevumos nekustīgie punkti ir dabiskie ""enkuri"", ap kuriem organizēt analīzi.",Alg,Functions,GR_ADV,IterationMethod,FunctionIteration,
12,0,FunctionalEquations,Funkcionālvienādojumi,Functional equations,"Vienādojumi, kuros nezināmais ir funkcija. Latvijas standarta kursā nav; valsts olimpiāžu vecākajās klasēs un starptautiskajās olimpiādēs — regulāra tēma.",Alg,FunctionalEquations,,FunctionalEquations,,
12,1,FunctionalEquationConcept,Funkcionālvienādojums,Functional equation,"Vienādojums, kura nezināmais ir funkcija (piem., $f(x+y)=f(x)+f(y)$ visiem $x,y$). Lasot būtiski saprast, ka vienādībai jāizpildās visām argumentu vērtībām — tas ļauj ievietot speciālas vērtības.",Alg,FunctionalEquations,GR_ADV,FunctionalEquationsForRealFunctions;FunctionalEquationsInDiscreteSets,DOM_FunctionalEquationsReal;DOM_IntegerFunctionalEquations,
12,2,CauchyEquation,Košī funkcionālvienādojums,Cauchy's functional equation,"Vienādojums $f(x+y)=f(x)+f(y)$ un uz to reducējamas formas. Daudzu funkcionālvienādojumu ""galastacija"".",Alg,FunctionalEquations,GR_ADV,CauchyEquationsAndRelated;AdditiveFunctions,FunctionalEquationConcept,
12,3,InvolutionFunction,Involūcija,Involution,"Funkcija vai pārveidojums, kas, piemērots divreiz, dod identitāti: $f(f(x))=x$. Involūcijas atpazīšana sniedz pārošanas struktūru gan algebrā, gan kombinatorikā.",Alg,FunctionalEquations,GR_ADV,InvolutionTransformationsInAlgebra,FunctionComposition,
13,0,WordProblemModels,Teksta uzdevumu kvantitatīvie modeļi,Quantitative models in word problems,"Standarta situāciju struktūras, kuras teksta uzdevumos jāatpazīst zem sadzīviskā apraksta: kustība, kopīgs darbs, maisījumi.",Alg,WordProblemModels,,FormingEquations,,
13,1,MotionSpeedTime,"Kustības modelis: ceļš, ātrums, laiks","Motion model: distance, speed, time","Sakarība $s=v \cdot t$ un tās sekas (tuvošanās/attālināšanās ātrumi, kustība pretī un pakaļ). Uzdevuma tekstā tā jāatpazīst zem stāsta par braucējiem, vilcieniem vai gājējiem.",Alg,WordProblemModels,GR_4_6,FormingEquations,DOM_WordProblems,
13,2,WorkRate,Darba ražīguma modelis,Work rate model,"Kopīgais darbs kā $1$ (viss darbs) un ražīgums kā darba daļa laika vienībā; strādājot kopā, ražīgumi summējas. Struktūra ""cauruļu"", ""strādnieku"" un ""pildīšanas"" uzdevumiem.",Alg,WordProblemModels,GR_7_9,FormingEquations,MotionSpeedTime;FractionOfQuantity,
13,3,MixtureConcentration,Maisījumi un koncentrācija,Mixtures and concentration,"Vielas daudzums = koncentrācija × masa; sajaucot, saglabājas tīrās vielas daudzums, nevis procenti. Bieža ""slēptā bilance"" teksta uzdevumos par šķīdumiem un sakausējumiem.",Alg,WordProblemModels,GR_7_9,FormingEquations,PercentConcept,
14,0,SetsAndOperations,Kopas un darbības ar tām,Sets and set operations,"Kopa kā objektu saime bez kārtības: apakškopas, apvienojums, šķēlums, sadalījumi, Dekarta reizinājums.",Comb,SetsAndOperations,,CountingSetOperations;SystemsOfSubsets,,
14,1,FiniteSet,Galīga kopa un tās elementu skaits,Finite set and its cardinality,Kopa $A$ ar elementu skaitu $|A|$. Pamats jebkurai kombinatorikai un kopu uzdevumiem.,Comb,SetsAndOperations,GR_4_6,CountingSetSizes,DOM_NumericSets,
14,2,SubsetConcept,Apakškopa,Subset,"Kopa $B$ ir kopas $A$ apakškopa ($B \subseteq A$), ja katrs $B$ elements ir arī $A$ elements. Visu apakškopu skaits $n$-elementu kopai ir $2^n$.",Comb,SetsAndOperations,GR_4_6,SystemsOfSubsets,,
14,3,SetUnion,Kopu apvienojums,Set union,"$A \cup B$ — visu to elementu kopa, kuri pieder $A$ vai $B$ (vai abām).",Comb,SetsAndOperations,GR_7_9,CountingSetOperations,EulerVennDiagrams,
14,4,SetIntersection,Kopu šķēlums,Set intersection,"$A \cap B$ — visu to elementu kopa, kuri pieder gan $A$, gan $B$.",Comb,SetsAndOperations,GR_7_9,CountingSetOperations,EulerVennDiagrams,
14,5,SetDifference,Kopu starpība un papildinājums,Set difference and complement,"$A \setminus B$ — elementi $A$, kas nepieder $B$. Papildinājums — visa, kas neietilpst kopā (attiecībā pret universumu).",Comb,SetsAndOperations,GR_7_9,OtherCountingSetOperations,,
14,6,EulerVennDiagrams,Eilera–Venna diagrammas,Euler-Venn diagrams,"Vizuāls kopu un to apvienojumu/šķēlumu attēlojums ar pārklājošiem riņķiem. Tipiska sadzīves konteksta uzdevumu (sportotāji, mūziķi, mājdzīvnieku īpašnieki) struktūra.",Comb,SetsAndOperations,GR_4_6,EulerVennDiagrams,hint:DrawPicture,
14,7,InclusionExclusion,Iekļaušanas–izslēgšanas princips,Inclusion-exclusion principle,"Formula $|A \cup B| = |A| + |B| - |A \cap B|$ un tās vispārinājumi vairākām kopām. Veids, kā saskaitīt elementus, kas ietilpst vismaz vienā no vairākām kopām.",Comb,SetsAndOperations,GR_OLY,InclusionExclusionPrinciple,SetUnion,
14,8,OrderedPair,Sakārtots pāris,Ordered pair,"Pāris $(a, b)$, kurā elementu secība ir svarīga: $(a,b) \neq (b,a)$, ja $a \neq b$. Pamats Dekarta reizinājumam un koordinātām.",Comb,SetsAndOperations,GR_7_9,,CartesianProduct;CoordinatePlane,
14,9,CartesianProduct,Kopu Dekarta reizinājums,Cartesian product,"$A \times B$ — visu sakārtoto pāru $(a, b)$ kopa, kur $a \in A$, $b \in B$. Pamats reizināšanas likumam un režģa uzdevumiem.",Comb,SetsAndOperations,GR_OLY,,CountingProductRule,
14,10,SetPartition,Kopas sadalījums (partīcija),Set partition,"Kopas sadalījums savstarpēji nešķeļošās apakškopās, kuru apvienojums ir visa kopa. Piemēri: atlikumu klases, krāsu klases, ekvivalences klases.",Comb,SetsAndOperations,GR_OLY,PartitioningInPairsBijections,EquivalenceRelation,
14,11,Tuple,Kortežs,Tuple,"Sakārtots elementu komplekts $(x_1, x_2, \ldots, x_n)$. Atšķirībā no kopas — secība un atkārtošanās ir svarīgas.",Comb,SetsAndOperations,GR_OLY,CountingFromEncoding,WordsAndStrings,
14,12,InfiniteSet,Bezgalīga kopa,Infinite set,"Kopa ar bezgalīgi daudziem elementiem (piem., visi naturālie skaitļi). Lasot svarīgi pamanīt, vai uzdevums prasa īpašību visiem bezgalīgi daudziem objektiem vai tikai galīgi daudziem.",Comb,SetsAndOperations,GR_OLY,MeanValueForInfiniteSets,PositiveIntegers,
14,13,Multiset,Multikopa,Multiset,"Kopa, kurā elementi var atkārtoties (svarīgs ir katra elementa eksemplāru skaits). Dabiska struktūra uzdevumos par monētām, augļiem vai burtiem ar atkārtojumiem.",Comb,SetsAndOperations,GR_OLY,CombinationsWithRepetition,SelectionsWithRepetition,
14,14,PowerSetFamily,Apakškopu sistēmas,Families of subsets,"Visu apakškopu kopa ($2^n$ apakškopas $n$ elementu kopai) vai īpaši izvēlēta apakškopu saime ar nosacījumiem. Bieža struktūra uzdevumos ""izvēlies grupas tā, lai ..."".",Comb,SetsAndOperations,GR_OLY,SystemsOfSubsets,SubsetConcept,
15,0,BinaryRelations,Bināras relācijas un sakārtojumi,Binary relations and orders,"Attiecības starp objektu pāriem: ekvivalence, daļējs un pilns sakārtojums. Skolas kursā tieši nemāca, bet olimpiāžu uzdevumos (draudzības, uzvaras, dalāmība) šī struktūra parādās nepārtraukti.",Comb,BinaryRelations,,BinaryRelations,,
15,1,BinaryRelation,Bināra relācija,Binary relation,"$S \times S$ apakškopa — pāru $(a,b)$ kopa ar nozīmi ""a ir kāda noteiktā attiecībā ar b"". Piemēri: dalāmība, ""draudzējas"", ""ir vecāks par"", ""dod tādu pašu atlikumu"".",Comb,BinaryRelations,GR_OLY,BinaryRelations,DirectedGraph,
15,2,EquivalenceRelation,Ekvivalences relācija,Equivalence relation,"Bināra relācija, kas ir refleksīva, simetriska un tranzitīva. Sadala kopu klasēs (piem., atlikumu klases, sakarīguma komponentes).",Comb,BinaryRelations,GR_OLY,BinaryRelations,SetPartition,
15,3,PartialOrder,Daļējs sakārtojums,Partial order,"Refleksīva, antisimetriska un tranzitīva relācija. Klasiski piemēri: dalāmība uz $\mathbb{N}$, apakškopu hierarhija, četrstūru ģimeņu hierarhija.",Comb,BinaryRelations,GR_OLY,BinaryRelations,DivisibilityRelation,
15,4,TotalOrder,Pilns (lineārs) sakārtojums,Total (linear) order,"Daļējs sakārtojums, kurā jebkurus divus elementus var salīdzināt. Piemēri: skolēni rindā pēc auguma, šahisti pēc spēles spēka.",Comb,BinaryRelations,GR_OLY,TotalOrderRelations,MTH_OrderingElements;hint:TryOrdering,
16,0,CountingPrinciples,Skaitīšanas principi,Counting principles,"Objektu skaitīšanas pamatstruktūras: reizināšanas un saskaitīšanas likumi, izlases, kombinatoriskie skaitļi, Dirihlē princips.",Comb,CountingPrinciples,,CountingObjects,,
16,1,CountingProductRule,Kombinatorikas reizināšanas likums,Multiplication principle,"Ja viens objekts izvēlams $a$ veidos un (neatkarīgi) otrs — $b$ veidos, tad pāri var izvēlēties $a \cdot b$ veidos.",Comb,CountingPrinciples,GR_4_6,RuleOfProduct,DOM_CountingObjects,
16,2,CountingSumRule,Kombinatorikas saskaitīšanas likums,Addition principle,"Ja objekts ir vai nu no $A$ ($a$ veidi), vai no $B$ ($b$ veidi), un $A \cap B = \emptyset$, tad to var izvēlēties $a + b$ veidos.",Comb,CountingPrinciples,GR_4_6,RuleOfSum,,
16,3,ExhaustiveCheck,Pilnā pārlase,Exhaustive enumeration,"Visu iespējamo gadījumu sistemātiska uzskaitīšana — gan kā risināšanas paņēmiens, gan kā pamatojuma struktūra.",Comb,CountingPrinciples,GR_4_6,SetTraversalOrganization,MTH_ExhaustiveAlgorithms;hint:CaseAnalysis,
16,4,OrderedSelection,Sakārtotas izlases (izvietojumi),Ordered selections (arrangements),"Izlases, kurās elementu secība ir svarīga. No $n$ dažādiem elementiem $k$ var izvēlēties sakārtoti $n(n-1)\cdots(n-k+1)$ veidos.",Comb,CountingPrinciples,GR_7_9,StandardCombinatorialNumbers,Permutation,
16,5,UnorderedSelection,Nesakārtotas izlases (kombinācijas),Unordered selections (combinations),"Izlases, kurās elementu secība nav svarīga. No $n$ dažādiem elementiem $k$ izvēlēties nesakārtoti var $\binom{n}{k}$ veidos.",Comb,CountingPrinciples,GR_7_9,StandardCombinatorialNumbers;BinomialPolynomialCoefficients,BinomialCoefficient,
16,6,Factorial,Faktoriālis,Factorial,$n! = 1 \cdot 2 \cdot 3 \cdots n$ — $n$ elementu permutāciju skaits. Pieņem $0! = 1$.,Comb,CountingPrinciples,GR_7_9,StandardCombinatorialNumbers,Permutation,
16,7,BinomialCoefficient,Binomiālie koeficienti,Binomial coefficients,"$\binom{n}{k} = \frac{n!}{k!(n-k)!}$ — veidu skaits, kā no $n$ izvēlēties $k$ (bez atkārtošanās, bez secības). Saistīti ar Paskāla trijstūri.",Comb,CountingPrinciples,GR_7_9,BinomialPolynomialCoefficients,PascalTriangle,Ņūtona binoma formula — Matemātika II (GR_10_12).
16,8,Permutation,Permutācija,Permutation,"Bijekcija $\{1, \ldots, n\} \to \{1, \ldots, n\}$. Var iztēloties kā $n$ dažādu elementu sakārtojumu rindā.",Comb,CountingPrinciples,GR_7_9,StandardCombinatorialNumbers,OrderedSelection,
16,9,PigeonholePrinciple,Dirihlē princips,Pigeonhole principle,"Ja vairāk nekā $n$ objektus jāsadala $n$ grupās, tad vismaz vienā grupā būs vismaz 2 objekti. Vispārīgāk: vairāk nekā $mn$ objektos $n$ grupās — vismaz $m+1$ vienā grupā.",Comb,CountingPrinciples,GR_OLY,,MTH_PigeonholePrincipleBasic;hint:Pigeonhole,"Olimpiādēs lietojams jau no ~5. klases; galvenais — atpazīt, kas ir ""truši"" un kas ""būri""."
16,10,SelectionsWithRepetition,Izlases ar atkārtojumiem,Selections with repetition,"Izvēles, kurās vienu objektu drīkst ņemt vairākkārt; nesakārtotā gadījumā skaits atbilst ""bumbiņu un starpsienu"" struktūrai. Jāatšķir no parastām kombinācijām un variācijām.",Comb,CountingPrinciples,GR_OLY,CombinationsWithRepetition,Multiset,
16,11,PascalTriangle,Paskāla trijstūris,Pascal's triangle,"Binomiālo koeficientu tabula, kurā katrs skaitlis ir divu virs tā esošo summa. Savieno skaitīšanu, rekurences un dalāmības īpašības vienā struktūrā.",Comb,CountingPrinciples,GR_OLY,PascalTriangle,BinomialCoefficient,
17,0,Graphs,Grafi,Graphs,"Grafs — virsotnes un šķautnes — kā universāla struktūra objektiem ar pārī saitēm: pilsētas un ceļi, cilvēki un pazīšanās, stāvokļi un gājieni. Skolas kursā gandrīz nav; olimpiādēs — viena no centrālajām struktūrām.",Comb,Graphs,,GraphProblems,,
17,1,GraphConcept,Grafs (virsotnes un šķautnes),Graph (vertices and edges),"Pāris $G = (V, E)$, kur $V$ ir virsotņu kopa un $E$ — šķautņu (savienojumu starp virsotnēm) kopa. ""Pilsētas un aviolīnijas"", ""draudzības"", ""turnīri"" — visi ir grafi.",Comb,Graphs,GR_OLY,MathObjectsAsGraphs,DOM_Graphs;MTH_GraphModel,Vienkāršās formās lietojams jau no ~5./6. klases.
17,2,VertexDegree,Virsotnes pakāpe,Vertex degree,"Šķautņu skaits, kas iziet no dotās virsotnes. Apzīmē $\deg(v)$.",Comb,Graphs,GR_OLY,GraphVertexDegree,HandshakeLemma,
17,3,HandshakeLemma,Rokasspiedienu lemma,Handshake lemma,"Visu virsotņu pakāpju summa ir vienāda ar $2|E|$, tātad ir pāra skaitlis. Sekas: virsotņu ar nepāra pakāpi vienmēr ir pāra skaits.",Comb,Graphs,GR_OLY,HandshakingLemma,VertexDegree;MTH_DoubleCounting,
17,4,WalkPathCycle,"Maršruts, ceļš, cikls grafā","Walk, path, cycle in a graph","Maršruts — secīgi savienotu šķautņu virkne; ceļš — maršruts bez virsotņu atkārtošanās; cikls — ceļš, kas atgriežas sākumpunktā.",Comb,Graphs,GR_OLY,PathsAndCyclesInGraphs,LatticePath,
17,5,ConnectedGraph,Sakarīgs grafs un komponentes,Connected graph and components,"Grafs ir sakarīgs, ja no jebkuras virsotnes var nokļūt uz jebkuru citu. Pretējā gadījumā tas sadalās vairākās sakarīguma komponentēs.",Comb,Graphs,GR_OLY,GraphConnectivity,Tree,
17,6,BipartiteGraph,Bipartīts (divdaļīgs) grafs,Bipartite graph,"Grafs, kura virsotnes var sadalīt divās krāsās tā, ka katra šķautne savieno dažādu krāsu virsotnes. Šaha galdiņa krāsojums dod bipartītu grafu blakus rūtiņām.",Comb,Graphs,GR_OLY,BipartiteGraphsCycles,ChessboardColoring,
17,7,EulerPath,Eilera ceļš un cikls,Eulerian path and circuit,"Maršruts, kas iziet caur katru šķautni tieši vienu reizi. Eksistē tad un tikai tad, ja nepāra pakāpes virsotņu skaits ir 0 (cikls) vai 2 (ceļš). Kēnigsbergas tilti.",Comb,Graphs,GR_OLY,EulerCircuits,,
17,8,HamiltonianPath,Hamiltona ceļš un cikls,Hamiltonian path and circuit,"Maršruts, kas iziet caur katru virsotni tieši vienu reizi. ""Apmeklē katru muzeja telpu tieši vienu reizi"" tipa uzdevumi.",Comb,Graphs,GR_OLY,HamiltonCircuits,,
17,9,DirectedGraph,Orientēts grafs,Directed graph,"Grafs, kurā šķautnēm ir virziens (bultiņas). Lieto, lai modelētu turnīrus, mājasdarbu pārbaudes secību, vai spēļu pozīcijas.",Comb,Graphs,GR_OLY,DirectedGraphs,BinaryRelation,
17,10,Tree,Koks (grafs bez cikliem),Tree,Sakarīgs grafs bez cikliem. $n$ virsotņu kokam ir tieši $n-1$ šķautne. Speciāli — sakņots koks ar izceltu virsotni-sakni.,Comb,Graphs,GR_OLY,Trees,DecisionTree,
17,11,DecisionTree,Lēmumu (izvēļu) koks,Decision tree,"Sakņots koks, kura zari atbilst iespējamām izvēlēm vai notikumu iznākumiem. Lieto varbūtību un spēļu uzdevumos.",Comb,Graphs,GR_4_6,Trees,hint:DrawPicture,
17,12,CompleteGraph,Pilns grafs,Complete graph,"Grafs, kurā katras divas virsotnes savieno šķautne ($K_n$ ar $\frac{n(n-1)}{2}$ šķautnēm). Situācija ""katrs ar katru"" (turnīri, sasveicināšanās) ir tieši šī struktūra.",Comb,Graphs,GR_OLY,,GraphConcept;RamseyType,
17,13,Subgraph,Apakšgrafs,Subgraph,"Grafa daļa — izvēlētas virsotnes un daļa tās savienojošo šķautņu. Ļauj uzdevumā izdalīt ""mazāku pasauli"", kurā vieglāk spriest.",Comb,Graphs,GR_OLY,Subgraphs,GraphConcept,
17,14,WeightedGraph,Svērts grafs,Weighted graph,"Grafs, kura šķautnēm (vai virsotnēm) piekārtoti skaitļi — attālumi, izmaksas, laiki. Uzdevumi par īsāko ceļu vai kopējām izmaksām lasāmi kā svērta grafa jautājumi.",Comb,Graphs,GR_OLY,,GraphConcept,
17,15,TournamentGraph,Turnīra grafs,Tournament,"Orientēts pilns grafs: katrs pāris spēlējis tieši vienu reizi, un bulta rāda uzvarētāju. Turnīru tabulas un ""kurš kuru uzvarēja"" uzdevumu dabiskā struktūra.",Comb,Graphs,GR_OLY,DirectedGraphs;RangingTournaments,DOM_Tournaments,
17,16,GraphColoringConcept,Grafa krāsojums,Graph colouring,"Virsotņu vai šķautņu iedalīšana krāsu klasēs, bieži ar nosacījumu, ka blakusesošie objekti ir dažādās krāsās. Krāsa šeit ir tikai etiķete — jebkurš iedalījums grupās ir krāsojums.",Comb,Graphs,GR_OLY,GraphColoringAndLabeling;GraphsWithColoredEdges,Coloring,
17,17,IndependentSetClique,Neatkarīga kopa un klika,Independent set and clique,"Virsotņu kopa bez savstarpējām šķautnēm (neatkarīga kopa) vai ar visām šķautnēm (klika). Uzdevumi ""atrodi cilvēkus, kuri cits citu nepazīst"" jautā tieši par šīm struktūrām.",Comb,Graphs,GR_ADV,GraphIndependentSet,CompleteGraph,
17,18,MatchingInGraph,Pārošana grafā,Matching,Šķautņu kopa bez kopīgām virsotnēm — objektu sadalīšana pāros. Uzdevumi par uzdevumu sadali darbiniekiem vai deju pāriem ir pārošanas (un Holla teorēmas) jautājumi.,Comb,Graphs,GR_ADV,HallMarriageTheorem;KonigTheorem,Bijection,
17,19,PlanarGraph,Planārs grafs,Planar graph,"Grafs, kuru var uzzīmēt plaknē bez šķautņu krustošanās; tam spēkā Eilera formula $V-E+F=2$. Uzdevumi par kartēm, robežām un valstu krāsošanu.",Comb,Graphs,GR_ADV,PlanarGraphs;EulerFormulaPlanarGraphs,EulerPolyhedraFormula,
17,20,RamseyType,Ramseja tipa struktūras,Ramsey-type structures,"Pietiekami lielā struktūrā ar jebkuru krāsojumu obligāti atrodama vienkrāsaina apakšstruktūra (piem., starp 6 cilvēkiem ir 3 savstarpēji pazīstami vai 3 savstarpēji nepazīstami). ""Garantētās kārtības"" jēdziens.",Comb,Graphs,GR_ADV,GraphsWithColoredEdges;RamseyTheoryGeometry,PigeonholePrinciple,
18,0,DiscreteStructures,Diskrētās konfigurācijas,Discrete configurations,"Konkrētas kombinatoriskas konfigurācijas: krāsojumi, flīzējumi, tabulas, simbolu virknes, režģa figūras.",Comb,DiscreteStructures,,SystemsAndStructures,,
18,1,LatticePath,Ceļš rūtiņu režģī,Lattice path,"Ceļš no vienas rūtiņas/punkta uz citu, ejot tikai pa atļautām bultiņām (parasti pa labi un uz augšu). Ceļu skaits saistīts ar binomiālajiem koeficientiem.",Comb,DiscreteStructures,GR_OLY,SquareGrid,LatticeGrid,
18,2,Coloring,Krāsojums,Coloring,"Funkcija no objektu kopas (rūtiņām, virsotnēm, šķautnēm) uz krāsu kopu. Atslēgas struktūra ""šaha galdiņa krāsojuma"" un grafu krāsošanas uzdevumos.",Comb,DiscreteStructures,GR_OLY,ColoringProblems,MTH_AuxiliaryColoring;hint:TryColoring,Olimpiādēs no ~4./5. klases.
18,3,ChessboardColoring,Šaha galdiņa krāsojums,Checkerboard coloring,"Speciāls krāsojums divās krāsās tā, ka blakus rūtiņām ir dažādas krāsas. Pamats invariantu pierādījumiem par pārklājumiem un maršrutiem rūtiņu lapā.",Comb,DiscreteStructures,GR_OLY,ChessPositions;ColoringProblems,DOM_GridColoring,
18,4,Tiling,Plaknes/figūras pārklāšana ar flīzēm,Tiling,"Figūras pārklāšana ar fiksētas formas elementiem (domino, $L$-tetromino, $T$-figūra utml.) bez pārklāšanās un robu.",Comb,DiscreteStructures,GR_OLY,CoverProblems;SquareGridCutting,DOM_GridCut,
18,5,DissectionIntoCongruent,Figūras sadalīšana vienādās daļās,Dissection into congruent parts,Figūras sadalīšana noteiktā skaitā kongruentu (vienādu) daļu. Tipisks rūtiņu lapas uzdevums.,Geom,DiscreteStructures,GR_OLY,CuttingShapesSpecial;SquareGridCutting,DOM_GridCut,Olimpiādēs no ~4. klases.
